nome_aceito_correto,nomes_originais,elegivel_produto_1,splink_t20,gbif_t20,splink_rbcv,gbif_rbcv,sum,entra,notas_all,especialista
Aphelandra espirito-santensis,Aphelandra espirito-santensis,examinar,NA,FALSE,NA,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Aphelandra longiflora,Aphelandra longiflora,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Aphelandra maximiliana,Aphelandra maximiliana,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Aphelandra prismatica,Aphelandra prismatica,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Aphelandra schottiana,Aphelandra schottiana,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Aphelandra squarrosa,Aphelandra squarrosa,apta,TRUE,TRUE,TRUE,TRUE,4,entra,"NA",NA
Dicliptera squarrosa,Dicliptera squarrosa,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Dyschoriste lavandulacea,Dyschoriste lavandulacea,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Justicia brasiliana,Justicia brasiliana,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Justicia genuflexa,Justicia genuflexa,examinar,FALSE,TRUE,FALSE,TRUE,2,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,FBnao- OCCScruzam
Justicia kleinii,Justicia kleinii,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Justicia lythroides,Justicia lythroides,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Justicia polita,Justicia polita,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",FBsim- OCCSnaocruzam
Justicia pygmaea,Justicia catharinensis,apta,TRUE,TRUE,TRUE,TRUE,4,entra,Nome original era sinônimo,NA
Justicia scheidweileri,Justicia scheidweileri,apta,TRUE,TRUE,TRUE,TRUE,4,nao entra,"NA",NA
Justicia tijucensis,Justicia tijucensis,examinar,TRUE,FALSE,FALSE,FALSE,1,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,FBnao- OCCScruzam
Lepidagathis meridionalis,Lepidagathis meridionalis,apta,FALSE,FALSE,FALSE,FALSE,0,entra,"NA",FBsim- OCCSnaocruzam
Pseuderanthemum riedelianum,Pseuderanthemum riedelianum,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,"NA",FBsim- OCCSnaocruzam
Ruellia bulbifera,Ruellia bulbifera,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,"NA",FBsim- OCCSnaocruzam
Ruellia epallocaulos,Ruellia epallocaulos,examinar,FALSE,FALSE,FALSE,FALSE,0,nao entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
Ruellia erythropus,Ruellia erythropus,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,"NA",FBsim- OCCSnaocruzam
Ruellia multifolia,Ruellia multifolia,apta,FALSE,FALSE,FALSE,FALSE,0,nao entra,"NA",FBsim- OCCSnaocruzam
Ruellia solitaria,Ruellia solitaria,apta,TRUE,FALSE,TRUE,TRUE,3,nao entra,"NA",NA
Staurogyne brachiata,Staurogyne brachiata,examinar,FALSE,FALSE,FALSE,FALSE,0,entra,A espécie não ocorre no Estado de São Paulo segundo a Flora do Brasil,NA
