sp,gbif_file,splink_file
Abarema brachystachya,output/p2/occs/Abarema brachystachya/gbif/Abarema brachystachya.csv,output/p2/occs/Abarema brachystachya/splink/Abarema brachystachya.csv
Abutilon venosum,output/p2/occs/Abutilon venosum/gbif/Abutilon venosum.csv,output/p2/occs/Abutilon venosum/splink/Abutilon venosum.csv
Acaena eupatoria,output/p2/occs/Acaena eupatoria/gbif/Acaena eupatoria.csv,output/p2/occs/Acaena eupatoria/splink/Acaena eupatoria.csv
Acalypha brasiliensis,output/p2/occs/Acalypha brasiliensis/gbif/Acalypha brasiliensis.csv,output/p2/occs/Acalypha brasiliensis/splink/Acalypha brasiliensis.csv
Acanthostachys pitcairnioides,output/p2/occs/Acanthostachys pitcairnioides/gbif/Acanthostachys pitcairnioides.csv,output/p2/occs/Acanthostachys pitcairnioides/splink/Acanthostachys pitcairnioides.csv
Acianthera ophiantha,output/p2/occs/Acianthera ophiantha/gbif/Acianthera ophiantha.csv,output/p2/occs/Acianthera ophiantha/splink/Acianthera ophiantha.csv
Acicarpha tribuloides,output/p2/occs/Acicarpha tribuloides/gbif/Acicarpha tribuloides.csv,output/p2/occs/Acicarpha tribuloides/splink/Acicarpha tribuloides.csv
Actinostemon klotzschii,NA,output/p2/occs/Actinostemon klotzschii/splink/Actinostemon klotzschii.csv
Aechmea gamosepala,NA,output/p2/occs/Aechmea gamosepala/splink/Aechmea gamosepala.csv
Agalinis communis,NA,output/p2/occs/Agalinis communis/splink/Agalinis communis.csv
Agalinis ramulifera,NA,output/p2/occs/Agalinis ramulifera/splink/Agalinis ramulifera.csv
Agarista niederleinii,NA,output/p2/occs/Agarista niederleinii/splink/Agarista niederleinii.csv
Agarista nummularia,NA,output/p2/occs/Agarista nummularia/splink/Agarista nummularia.csv
Agarista pulchra,NA,output/p2/occs/Agarista pulchra/splink/Agarista pulchra.csv
Agenium leptocladum,NA,output/p2/occs/Agenium leptocladum/splink/Agenium leptocladum.csv
Agrostis longiberbis,NA,output/p2/occs/Agrostis longiberbis/splink/Agrostis longiberbis.csv
Aiouea trinervis,NA,output/p2/occs/Aiouea trinervis/splink/Aiouea trinervis.csv
Albizia edwallii,NA,output/p2/occs/Albizia edwallii/splink/Albizia edwallii.csv
Alcantarea glaziouana,NA,output/p2/occs/Alcantarea glaziouana/splink/Alcantarea glaziouana.csv
Alcantarea imperialis,NA,output/p2/occs/Alcantarea imperialis/splink/Alcantarea imperialis.csv
Aldama goyazii,NA,output/p2/occs/Aldama goyazii/splink/Aldama goyazii.csv
Algernonia brasiliensis,NA,output/p2/occs/Algernonia brasiliensis/splink/Algernonia brasiliensis.csv
Algernonia riedelii,NA,output/p2/occs/Algernonia riedelii/splink/Algernonia riedelii.csv
Allophylus melanophloeus,NA,output/p2/occs/Allophylus melanophloeus/splink/Allophylus melanophloeus.csv
Alstroemeria caryophyllaea,NA,output/p2/occs/Alstroemeria caryophyllaea/splink/Alstroemeria caryophyllaea.csv
Alstroemeria foliosa,NA,output/p2/occs/Alstroemeria foliosa/splink/Alstroemeria foliosa.csv
Alstroemeria plantaginea,NA,output/p2/occs/Alstroemeria plantaginea/splink/Alstroemeria plantaginea.csv
Alternanthera aquatica,NA,output/p2/occs/Alternanthera aquatica/splink/Alternanthera aquatica.csv
Alternanthera flavescens,NA,output/p2/occs/Alternanthera flavescens/splink/Alternanthera flavescens.csv
Alternanthera kurtzii,NA,output/p2/occs/Alternanthera kurtzii/splink/Alternanthera kurtzii.csv
Alternanthera paronychioides,NA,output/p2/occs/Alternanthera paronychioides/splink/Alternanthera paronychioides.csv
Amburana erythrosperma,NA,output/p2/occs/Amburana erythrosperma/splink/Amburana erythrosperma.csv
Anathallis gehrtii,NA,output/p2/occs/Anathallis gehrtii/splink/Anathallis gehrtii.csv
Ancistrotropis firmula,NA,output/p2/occs/Ancistrotropis firmula/splink/Ancistrotropis firmula.csv
Andropogon carinatus,NA,output/p2/occs/Andropogon carinatus/splink/Andropogon carinatus.csv
Andropogon glaucophyllus,NA,output/p2/occs/Andropogon glaucophyllus/splink/Andropogon glaucophyllus.csv
Andropogon hypogynus,NA,output/p2/occs/Andropogon hypogynus/splink/Andropogon hypogynus.csv
Anemia blechnoides,NA,output/p2/occs/Anemia blechnoides/splink/Anemia blechnoides.csv
Anemia phyllitidis,NA,output/p2/occs/Anemia phyllitidis/splink/Anemia phyllitidis.csv
Anemopaegma arvense,NA,output/p2/occs/Anemopaegma arvense/splink/Anemopaegma arvense.csv
Annona dolabripetala,NA,output/p2/occs/Annona dolabripetala/splink/Annona dolabripetala.csv
Annona emarginata,NA,output/p2/occs/Annona emarginata/splink/Annona emarginata.csv
